Title: Multiwavelength Analysis of Six Luminous, Fast Blue Optical Transients
Authors: Sevilla, Cassie et al.
Table: Optical Photometry
================================================================================
Byte-by-byte Description of file: datafile10.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label         Explanations
--------------------------------------------------------------------------------
   1- 10 A10    ---     Object        Name of the LFBOT observed
  12- 25 A14    ---     Date-Time     YYYYMMDD-hh:ss UTC Date and Time when Observation was taken
  27- 29 I3     d       t-rest        Rest-frame days after t0 that the observation was taken
  31- 44 A14    ---     Facility      Facility/Instrument that took the Observation
  46- 49 A4     ---     Filter        Filter of the Observation
  51- 55 F2.2   mag     AB-Magnitude  Measured AB magnitude if detection, 3-sigma error if non-detection
  57- 60 F1.2   mag     AB-Mag-Error  ? AB magnitude error, blank if non-detection
--------------------------------------------------------------------------------
Note (1):   We omit all observations prior to six days before t0 and all ZTF non-detections more than fifty days after t0. For non-detections, we provide 3-σ upper limits.
--------------------------------------------------------------------------------
AT2022abfc 20221114-08:31  -6 P48/ZTF        r    19.68      
AT2022abfc 20221114-10:40  -6 P48/ZTF        g    19.65      
AT2022abfc 20221115-09:09  -5 P48/ZTF        r    20.40      
AT2022abfc 20221115-10:08  -5 P48/ZTF        g    20.19      
AT2022abfc 20221116-08:19  -4 P48/ZTF        r    19.36      
AT2022abfc 20221117-08:01  -3 P48/ZTF        g    19.69      
AT2022abfc 20221117-08:48  -3 P48/ZTF        r    19.53      
AT2022abfc 20221118-08:04  -2 P48/ZTF        g    20.51      
AT2022abfc 20221118-09:32  -2 P48/ZTF        r    20.13      
AT2022abfc 20221119-09:34  -2 P48/ZTF        g    19.71      
AT2022abfc 20221120-08:01  -1 P48/ZTF        r    20.35      
AT2022abfc 20221121-08:15   0 P48/ZTF        r    19.46 0.11 
AT2024qfm  20240811-05:12  12 Magellan/IMACS r    22.75 0.11 
AT2024qfm  20240811-05:24  12 Magellan/IMACS r    22.41 0.10 
AT2024qfm  20240811-05:39  12 Magellan/IMACS i    22.90 0.08 
AT2024qfm  20240811-05:51  12 Magellan/IMACS i    23.15 0.10 
AT2024qfm  20240811-07:25  12 P48/ZTF        g    20.36      
AT2024qfm  20240812-07:56  13 P48/ZTF        r    20.61      
AT2024qfm  20240813-04:09  14 Magellan/IMACS g    22.85 0.07 
AT2024qfm  20240813-04:21  14 Magellan/IMACS g    22.99 0.08 
AT2024qfm  20240813 06:36  14 SWIFT/UVOT     uvw2 21.08      
AT2024qfm  20240814-08:07  15 P48/ZTF        g    20.92      
AT2024qfm  20240814-09:05  15 P48/ZTF        r    20.76      
AT2024qfm  20240816-08:35  16 P48/ZTF        g    20.47      
AT2024qfm  20240816-09:55  16 P48/ZTF        r    20.95      
AT2024qfm  20240822-08:10  21 P48/ZTF        r    19.82      
AT2024qfm  20240822-09:04  21 P48/ZTF        g    19.60      
AT2024qfm  20240823-07:10  22 P48/ZTF        i    19.81      
AT2024qfm  20240825-03:41  23 NOT/ALFOSC     g    23.81      
AT2024qfm  20240825-04:03  23 NOT/ALFOSC     r    23.91      
AT2024qfm  20240825-04:26  24 NOT/ALFOSC     i    24.06      
AT2024qfm  20240825-07:57  24 P48/ZTF        g    20.51      
AT2024qfm  20240827-07:54  25 P48/ZTF        g    20.87      
AT2024qfm  20240829-07:37  27 P48/ZTF        g    21.13      
AT2024qfm  20240831-05:55  28 SOAR/GHTS      g    24.07      
AT2024qfm  20240831-06:08  28 SOAR/GHTS      r    23.98      
AT2024qfm  20240831-07:20  28 P48/ZTF        g    20.89      
AT2024qfm  20240901-07:08  29 P48/ZTF        g    20.78      
AT2024qfm  20240902-07:12  30 P48/ZTF        g    21.08      
AT2024qfm  20240903-09:50  31 P48/ZTF        g    20.94      
AT2024qfm  20240903-09:51  31 P48/ZTF        g    20.95      
AT2024qfm  20240905-06:56  33 P48/ZTF        g    21.00      
AT2024qfm  20240907-08:06  34 P48/ZTF        r    20.65      
AT2024qfm  20240908-05:01  35 Magellan/IMACS r    25.06 0.20 
AT2024qfm  20240909-07:06  36 P48/ZTF        g    20.51      
AT2024qfm  20240911-06:36  37 P48/ZTF        g    20.69      
AT2024qfm  20240911-07:36  37 P48/ZTF        r    20.84      
AT2024qfm  20240913-08:08  39 P48/ZTF        g    20.34      
AT2024qfm  20240913-08:58  39 P48/ZTF        r    20.52      
AT2024qfm  20240916-06:15  41 P48/ZTF        g    19.58      
AT2024qfm  20240916-07:39  42 P48/ZTF        r    19.95      
AT2024qfm  20240919-05:38  44 P48/ZTF        i    19.36      
AT2024qfm  20240919-07:05  44 P48/ZTF        r    19.82      
AT2024qfm  20240922-06:41  46 P48/ZTF        g    20.31      
AT2024qfm  20240923-06:10  47 P48/ZTF        g    20.65      
AT2024qfm  20240924-08:55  48 P48/ZTF        g    20.33      
AT2024qfm  20240925-09:30  49 P48/ZTF        g    20.43      
AT2024qfm  20240926-08:12  50 P48/ZTF        i    19.95      
AT2024aehp 20241215-10:10  -3 P48/ZTF        r    19.23      
AT2024aehp 20241215-10:12  -3 P48/ZTF        r    19.09      
AT2024aehp 20241219-08:34   0 P48/ZTF        r    19.59 0.16 
AT2024aehp 20241219-10:02   0 P48/ZTF        g    19.02 0.09 
AT2024aehp 20241219-11:39   0 P48/ZTF        i    19.31 0.17 
AT2024aehp 20241220-08:47   1 P48/ZTF        g    19.23 0.07 
AT2024aehp 20241220-09:09   1 P48/ZTF        r    19.46 0.08 
AT2024aehp 20241221-07:50   2 P48/ZTF        i    19.60 0.14 
AT2024aehp 20241221-09:08   2 P48/ZTF        g    19.52 0.10 
AT2024aehp 20241221-11:41   2 P48/ZTF        r    20.26 0.25 
AT2024aehp 20241222-09:02   3 P48/ZTF        i    18.97      
AT2024aehp 20241222-09:44   3 P48/ZTF        g    19.73 0.08 
AT2024aehp 20241222-11:45   3 P48/ZTF        r    19.61 0.15 
AT2024aehp 20241223-11:31   3 P48/ZTF        r    20.05 0.17 
AT2024aehp 20241224-08:26   4 P48/ZTF        r    20.03 0.13 
AT2024aehp 20241224-09:38   4 P48/ZTF        g    19.98 0.13 
AT2024aehp 20241227-09:04   7 P48/ZTF        r    20.03 0.13 
AT2024aehp 20241227-09:40   7 P48/ZTF        i    18.68      
AT2024aehp 20241227-11:08   7 P48/ZTF        g    20.22      
AT2024aehp 20241229-10:32   9 P48/ZTF        g    19.83 0.08 
AT2024aehp 20241229-11:10   9 P48/ZTF        r    20.07 0.11 
AT2024aehp 20241229-12:34   9 P48/ZTF        i    20.07 0.29 
AT2024aehp 20241231-01:51  10 SWIFT/UVOT     uvw2 21.02      
AT2024aehp 20241231-09:41  10 P60/SEDM       g    19.95 0.08 
AT2024aehp 20241231-09:47  10 P60/SEDM       r    20.09 0.06 
AT2024aehp 20241231-09:54  10 P60/SEDM       i    20.20 0.08 
AT2024aehp 20241231-10:28  10 P48/ZTF        g    19.94 0.10 
AT2024aehp 20241231-11:54  10 SWIFT/UVOT     uvw1 20.67 0.21 
AT2024aehp 20241231-11:56  10 SWIFT/UVOT     u    20.21 0.29 
