#0	1	2	3	4	5	6	7	8
#0_FRB	B16_OFF	L17_GRB	F22_OFF	TYPEIA	S20_SN	SLS_S20	Ca-rich	F13_OFF
999	999	999	999	999	1.769	999	999	999
999	999	999	999	999	1.769	999	999	999
999	999	999	999	999	1.77	999	999	999
999	999	999	999	999	1.771	999	999	999
999	999	999	999	999	1.772	999	999	999
999	999	999	999	999	1.785	999	999	999
999	999	999	999	999	1.791	999	999	999
999	999	999	999	999	1.8	999	999	999
999	999	999	999	999	1.8	999	999	999
999	999	999	999	999	1.808	999	999	999
999	999	999	999	999	1.811	999	999	999
999	999	999	999	999	1.835	999	999	999
999	999	999	999	999	1.837	999	999	999
999	999	999	999	999	1.839	999	999	999
999	999	999	999	999	1.842	999	999	999
999	999	999	999	999	1.848	999	999	999
999	999	999	999	999	1.864	999	999	999
999	999	999	999	999	1.864	999	999	999
999	999	999	999	999	1.879	999	999	999
999	999	999	999	999	1.883	999	999	999
999	999	999	999	999	1.904	999	999	999
999	999	999	999	999	1.905	999	999	999
999	999	999	999	999	1.908	999	999	999
999	999	999	999	999	1.909	999	999	999
999	999	999	999	999	1.912	999	999	999
999	999	999	999	999	1.927	999	999	999
999	999	999	999	999	1.927	999	999	999
999	999	999	999	999	1.936	999	999	999
999	999	999	999	999	1.939	999	999	999
999	999	999	999	999	1.944	999	999	999
999	999	999	999	999	1.948	999	999	999
999	999	999	999	999	1.948	999	999	999
999	999	999	999	999	1.95	999	999	999
999	999	999	999	999	1.951	999	999	999
999	999	999	999	999	1.953	999	999	999
999	999	999	999	999	1.954	999	999	999
999	999	999	999	999	1.964	999	999	999
999	999	999	999	999	1.966	999	999	999
999	999	999	999	999	1.97	999	999	999
999	999	999	999	999	1.982	999	999	999
999	999	999	999	999	2.002	999	999	999
999	999	999	999	999	2.02	999	999	999
999	999	999	999	999	2.027	999	999	999
999	999	999	999	999	2.027	999	999	999
999	999	999	999	999	2.028	999	999	999
999	999	999	999	999	2.032	999	999	999
999	999	999	999	999	2.042	999	999	999
999	999	999	999	999	2.043	999	999	999
999	999	999	999	999	2.093	999	999	999
999	999	999	999	999	2.116	999	999	999
999	999	999	999	999	2.16	999	999	999
999	999	999	999	999	2.179	999	999	999
999	999	999	999	999	2.192	999	999	999
