wavelength flux fluxe
3.832842821079143050e+03 1.956448838349193808e+00 1.320257481938174049e+00
3.833923413197002446e+03 2.593230860626059009e+00 1.328630054452380582e+00
3.835003899962494870e+03 3.723898708581339090e+00 1.374074588499915706e+00
3.836084608636446774e+03 1.134445181232760058e+00 1.217297508688718999e+00
3.837165105708618739e+03 2.234461923838778397e+00 1.290662617807228685e+00
3.838245806398282639e+03 1.500940506204713198e+00 1.244436727141976062e+00
3.839326444537596217e+03 2.108180331471097180e+00 1.170224467925853995e+00
3.840407153226490209e+03 2.616260273750500076e+00 1.221629531019184700e+00
3.841487817709365572e+03 2.370728610595180808e+00 1.224400610023462344e+00
3.842568699770764397e+03 2.035866251233407198e-01 1.134151279280964042e+00
3.843649381422367696e+03 8.129886387660154590e-01 1.177403067155119665e+00
3.844728791351150448e+03 3.094791559534441294e+00 1.290330706425945273e+00
3.845810988635919330e+03 2.819439838322285841e+00 1.249348437424123492e+00
3.846891929450835505e+03 4.012544562442022844e+00 1.285994428517410304e+00
3.847972768523443392e+03 2.005071040742306465e+00 1.207871640780976641e+00
3.849053631987566405e+03 1.600906867501441733e+00 1.155956725585172595e+00
3.850134578214636804e+03 4.023670391392283108e+00 1.292138686521192348e+00
3.851215516346956065e+03 7.283346516759198197e-01 1.131358411719613155e+00
3.852296428824639861e+03 1.392472921698628907e+00 1.078085632082365741e+00
3.853377388286994119e+03 3.063770888790373625e+00 1.174222500145093884e+00
3.854458401676112317e+03 1.490758499248790780e+00 1.165630515377255927e+00
3.855539561253694046e+03 1.887139750086909151e+00 1.138309028566607095e+00
3.856620650088518687e+03 1.467428126767632790e+00 1.108493370128789346e+00
3.857701692285537774e+03 2.157354696959931317e+00 1.108561158905271293e+00
3.858782817296199937e+03 3.128799092344571875e+00 1.081627691523672219e+00
3.859865725508669129e+03 1.497392169731050160e+00 9.608773299014899960e-01
3.860944994889539430e+03 3.639828568895431271e+00 1.093159224605382507e+00
3.862026345255427714e+03 2.267373582212321992e+00 1.037703214455079959e+00
3.863109074520478316e+03 -4.666974844525219046e-01 9.670021398832193693e-01
3.864188771675516819e+03 1.800334527735677481e+00 1.066550825498547850e+00
3.865270063044015387e+03 5.811840307643999504e-01 1.019170765380935428e+00
3.866351314219451524e+03 2.273886325074959469e+00 1.061557846001655925e+00
3.867432736842561098e+03 -4.376460603494742863e-01 9.371354584649916886e-01
3.868513936395480869e+03 3.353542747943236702e+00 1.117975172157716246e+00
3.869595353805483228e+03 3.417488210586540731e+00 1.109462355755480134e+00
3.870677421952582336e+03 2.344613242274437681e+00 1.001546301287434604e+00
3.871758149838560712e+03 9.541521844956244447e-01 9.762725384612749302e-01
3.872839520436791645e+03 1.998265607540226974e+00 1.009574812082326245e+00
3.873921087252559573e+03 4.959401309800147040e+00 1.122092406471857817e+00
3.875002461032871906e+03 2.973523167343148810e+00 1.080452931957530671e+00
3.876083968023578109e+03 3.081140198362327443e+00 1.088835983635564331e+00
3.877165476987676357e+03 3.104954031012511440e+00 1.113451351546004719e+00
3.878247082143182979e+03 1.173897699375624493e+00 9.821917058703196757e-01
3.879328274820180468e+03 4.275704360756380495e+00 1.115119329891281597e+00
3.880410352272854652e+03 4.183312128050567402e+00 1.092453247736620225e+00
3.881491902426850629e+03 2.399188904039119274e-01 8.911339923290023668e-01
3.882573513307223038e+03 2.042159788511215268e+00 9.794591126317603313e-01
3.883655182442161731e+03 4.584902665427612156e+00 1.037502845801029139e+00
3.884736967862638267e+03 1.344500734623568894e+00 8.762498417317337029e-01
3.885818049397298637e+03 5.037755267775665402e+00 1.145967436315812327e+00
3.886901107368801604e+03 2.576079123807443416e+00 9.742743515146872202e-01
3.887982117731659855e+03 2.260550805516197581e+00 9.736519713328940506e-01
3.889063994568020462e+03 2.995870194616262250e+00 1.018484825050295139e+00
3.890145714192028663e+03 3.240622274071226272e+00 1.020450444605482510e+00
3.891227610037633440e+03 2.926470395805798930e+00 9.811123473610009471e-01
3.892309380713698829e+03 9.257903629942195733e-01 8.951752844365497008e-01
3.893391280436182114e+03 2.603846003642318330e+00 9.849624945610122584e-01
3.894473180641074123e+03 -5.957796052540921261e-01 8.307817338351621839e-01
3.895555172580431190e+03 2.809022478836757930e+00 9.821457998851789162e-01
3.896637157435747667e+03 3.527263308497469385e+00 9.848709387504288593e-01
3.897719092934907167e+03 1.653167684803219295e+00 9.312580602973739019e-01
3.898801070227508717e+03 3.110158381335446087e+00 9.963532889233841505e-01
3.899883095816462628e+03 2.511330646663745281e+00 9.680351307384594817e-01
3.900965125400762190e+03 2.384508895648591142e+00 9.764675148729794474e-01
3.902047255219843464e+03 3.244739025978844005e+00 9.980362641670889046e-01
3.903129329956301262e+03 3.192715730377464478e+00 1.028031722597600117e+00
3.904211443750240505e+03 2.701808578193730437e+00 1.011624601569864224e+00
3.905293594469777872e+03 4.029857121172324419e+00 1.076090282301813694e+00
3.906375707035283085e+03 3.918722297837520685e+00 1.140177925257243263e+00
3.907459396325871694e+03 1.299529525700791943e+00 1.104239240108073838e+00
3.908540045853549145e+03 6.232947416087195602e-01 1.099558683602620102e+00
3.909622318363631621e+03 3.878025945517274309e+00 1.194194371750507910e+00
3.910704330547071550e+03 2.818431169000779057e+00 1.129936113021835276e+00
3.911787048278075417e+03 1.780685269574739715e+00 1.106917242210455843e+00
3.912869140316670382e+03 2.281388617551771691e+00 1.157314582115194446e+00
3.913951497464903696e+03 4.380192696463718782e+00 1.193357164354196698e+00
3.915033859441492041e+03 9.452011112576831353e-01 1.062963240112673846e+00
