wavelength flux err
3.831000000000000000e+03 5.553574289447815726e-01 2.312439196962782703e-02
3.832000000000000000e+03 5.372518340362002487e-01 2.325954313700738865e-02
3.833000000000000000e+03 5.819555742239534979e-01 2.334185468948513781e-02
3.834000000000000000e+03 5.704965522427577485e-01 2.268931241080567041e-02
3.835000000000000000e+03 5.388306239090349115e-01 2.293153849766300587e-02
3.836000000000000000e+03 5.892585312373674888e-01 2.262494373922264990e-02
3.837000000000000000e+03 5.757810056341006177e-01 2.230052946830087673e-02
3.838000000000000000e+03 5.617078117034384199e-01 2.225815193917334012e-02
3.839000000000000000e+03 5.707115360504442236e-01 2.252740154464726030e-02
3.840000000000000000e+03 5.965351678035728522e-01 2.246691224240751281e-02
3.841000000000000000e+03 6.013985805160332321e-01 2.224314763983771190e-02
3.842000000000000000e+03 5.801030335261098125e-01 2.206146845416531027e-02
3.843000000000000000e+03 5.465559287557796297e-01 2.222932772449461372e-02
3.844000000000000000e+03 5.615938426402519168e-01 2.262550313918477995e-02
3.845000000000000000e+03 5.750461022653620136e-01 2.224415477832627011e-02
3.846000000000000000e+03 5.486813952160809471e-01 2.271453769648386356e-02
3.847000000000000000e+03 6.023644472987430554e-01 2.295333371759034763e-02
3.848000000000000000e+03 6.153691323164910409e-01 2.257905977099796888e-02
3.849000000000000000e+03 5.671044124514235119e-01 2.212933590700166125e-02
3.850000000000000000e+03 5.539082827915395857e-01 2.218020370518670320e-02
3.851000000000000000e+03 5.796231961811236788e-01 2.225292870088144137e-02
3.852000000000000000e+03 5.816947203780159503e-01 2.217838808565002900e-02
3.853000000000000000e+03 5.527453105705105729e-01 2.237542766011006365e-02
3.854000000000000000e+03 5.571598540836960600e-01 2.252251420633126153e-02
3.855000000000000000e+03 5.806865935036970017e-01 2.211208888005923578e-02
3.856000000000000000e+03 5.653400192637112465e-01 2.203055295771301839e-02
3.857000000000000000e+03 5.662587810090407014e-01 2.174796648773882901e-02
3.858000000000000000e+03 5.734239319514550237e-01 2.172832739337392932e-02
3.859000000000000000e+03 5.686002595096895096e-01 2.213208680992252014e-02
3.860000000000000000e+03 5.792651339034936564e-01 2.201488495225143241e-02
3.861000000000000000e+03 5.971659826100449431e-01 2.207049143819031153e-02
3.862000000000000000e+03 5.859127224106569498e-01 2.188200745971918826e-02
3.863000000000000000e+03 5.647916444858254170e-01 2.227588879421907656e-02
3.864000000000000000e+03 5.971311896535280717e-01 2.260617944855883646e-02
3.865000000000000000e+03 5.951012947661781238e-01 2.202371603748507281e-02
3.866000000000000000e+03 5.459625828761945909e-01 2.166258435378656463e-02
3.867000000000000000e+03 5.410761312573820758e-01 2.187984646036978190e-02
3.868000000000000000e+03 5.612315732050293660e-01 2.201319051592082882e-02
3.869000000000000000e+03 5.855362860562817184e-01 2.189767260365554913e-02
3.870000000000000000e+03 5.850070143790946364e-01 2.181951436606599862e-02
3.871000000000000000e+03 5.758601644177772094e-01 2.164156836525072541e-02
3.872000000000000000e+03 5.878992550516868310e-01 2.152384856961303203e-02
3.873000000000000000e+03 5.565681934976640655e-01 2.116711544236385412e-02
3.874000000000000000e+03 5.410606933883376213e-01 2.132480029414713166e-02
3.875000000000000000e+03 5.493128750450393394e-01 2.146734708719108542e-02
3.876000000000000000e+03 5.651828835771713910e-01 2.154562945844677724e-02
3.877000000000000000e+03 5.958916547195149960e-01 2.192937681502325764e-02
3.878000000000000000e+03 6.055134830790316336e-01 2.162353642850347799e-02
3.879000000000000000e+03 5.746022608840322121e-01 2.136217242008094097e-02
3.880000000000000000e+03 5.439285887784507389e-01 2.122413992011060527e-02
3.881000000000000000e+03 5.293053050310287944e-01 2.153059070895179880e-02
3.882000000000000000e+03 5.614313083301486484e-01 2.150551635240393125e-02
3.883000000000000000e+03 5.775191688763067210e-01 2.139038492695824814e-02
3.884000000000000000e+03 5.698911490672279312e-01 2.124282431396235654e-02
3.885000000000000000e+03 5.641306924645318466e-01 2.152711166483909158e-02
3.886000000000000000e+03 5.753281801080744051e-01 2.152319788303563505e-02
3.887000000000000000e+03 5.541008761769338209e-01 2.114035789256719575e-02
3.888000000000000000e+03 5.258074245141500791e-01 2.082933032242371627e-02
3.889000000000000000e+03 5.471696478810426090e-01 2.127065029007340138e-02
3.890000000000000000e+03 5.728309122801525932e-01 2.130240091920465595e-02
3.891000000000000000e+03 5.826518749959270771e-01 2.139148027635946400e-02
3.892000000000000000e+03 5.800603825219907694e-01 2.117515442743217458e-02
3.893000000000000000e+03 5.605656038274492436e-01 2.114915211483301208e-02
3.894000000000000000e+03 5.670829525545858507e-01 2.138571285171671915e-02
3.895000000000000000e+03 5.477908290982236306e-01 2.104842188713965806e-02
3.896000000000000000e+03 5.379157526802813560e-01 2.158426832203879861e-02
3.897000000000000000e+03 5.605671371298139860e-01 2.121083294787054485e-02
3.898000000000000000e+03 5.445497410351854972e-01 2.142694599237276662e-02
3.899000000000000000e+03 5.570797734191140771e-01 2.149669459715670625e-02
3.900000000000000000e+03 5.492851645098875135e-01 2.137733944187852203e-02
3.901000000000000000e+03 5.546251396707394532e-01 2.133436495655158249e-02
3.902000000000000000e+03 5.754925554223547790e-01 2.150235309821962870e-02
3.903000000000000000e+03 5.926122598802567865e-01 2.172850257517356526e-02
3.904000000000000000e+03 5.918901875965243420e-01 2.162727991792827084e-02
3.905000000000000000e+03 5.659690703703245118e-01 2.141836547144564118e-02
3.906000000000000000e+03 5.617566660476034368e-01 2.173382017262862412e-02
3.907000000000000000e+03 5.713645451047751900e-01 2.188784458347580245e-02
3.908000000000000000e+03 5.798868602404331218e-01 2.165738234346466923e-02
3.909000000000000000e+03 5.804605334365183777e-01 2.168645282593360465e-02
3.910000000000000000e+03 5.707753226173083450e-01 2.181191036884027115e-02
