wavelength flux fluxe
3897.9537 1.580792e+01 4.366793e+00
3899.6406 4.789481e-01 4.147684e+00
3901.3275 5.483432e+00 4.174445e+00
3903.0144 8.191270e+00 4.119768e+00
3904.7013 5.097099e+00 4.156838e+00
3906.3881 -1.614806e+00 4.028233e+00
3908.0750 8.516853e+00 4.087559e+00
3909.7619 1.061620e+00 3.926841e+00
3911.4488 7.329663e+00 3.475456e+00
3913.1357 8.313412e+00 3.933619e+00
3914.8226 9.011692e+00 3.964943e+00
3916.5095 -6.908255e-01 3.775095e+00
3918.1964 8.265677e+00 3.836592e+00
3919.8833 4.722277e+00 3.019004e+00
3921.5702 3.180215e+00 3.019720e+00
3923.2571 1.459696e+00 2.939140e+00
3924.9439 7.603654e+00 2.700377e+00
3926.6308 6.195909e+00 2.937260e+00
3928.3177 4.840964e+00 2.939709e+00
3930.0046 5.127415e-01 2.840384e+00
3931.6915 3.217341e+00 2.852688e+00
3933.3784 -4.789733e-01 2.779730e+00
3935.0653 5.379252e+00 2.654962e+00
3936.7522 1.913453e+00 2.651974e+00
3938.4391 1.956005e+00 2.785667e+00
3940.1260 2.085428e-01 2.760321e+00
3941.8129 9.081050e+00 2.810856e+00
3943.4997 -1.276642e+00 2.697007e+00
3945.1866 1.955279e+00 2.750396e+00
3946.8735 2.518691e+00 2.703046e+00
3948.5604 6.196509e+00 2.753954e+00
3950.2473 -3.582839e-01 2.703459e+00
3951.9342 9.618852e+00 2.691688e+00
3953.6211 3.310849e+00 2.622680e+00
3955.3080 1.688991e+00 2.526128e+00
3956.9949 3.304591e+00 2.442925e+00
3958.6818 4.067625e+00 2.601038e+00
3960.3687 4.337660e+00 2.566470e+00
3962.0556 3.164327e+00 2.544782e+00
3963.7424 8.778819e+00 2.560487e+00
3965.4293 4.489056e+00 2.526594e+00
3967.1162 2.572168e+00 2.246549e+00
3968.8031 5.124969e+00 2.514092e+00
3970.4900 1.690447e+00 2.451201e+00
3972.1769 3.632633e+00 2.266468e+00
3973.8638 5.840536e+00 2.484321e+00
3975.5507 3.546919e-01 2.442038e+00
3977.2376 3.644104e+00 2.476194e+00
3978.9245 5.472747e+00 2.461136e+00
3980.6114 2.894233e+00 2.433087e+00
3982.2982 7.000460e+00 2.453227e+00
3983.9851 1.978386e+00 2.402844e+00
3985.6720 8.261965e+00 2.465507e+00
3987.3589 2.359111e+00 2.416647e+00
3989.0458 -4.856931e-01 2.380583e+00
3990.7327 1.291661e+00 2.360259e+00
3992.4196 9.599513e-01 2.348065e+00
3994.1065 4.277888e+00 2.333381e+00
3995.7934 2.670808e+00 2.288909e+00
3997.4803 2.847503e+00 2.265797e+00
3999.1672 3.609924e+00 2.258650e+00
4000.8540 3.641478e+00 2.258807e+00
4002.5409 7.129196e+00 2.275129e+00
4004.2278 5.351684e+00 2.211082e+00
4005.9147 4.330862e+00 2.073738e+00
4007.6016 1.504635e+00 2.030785e+00
4009.2885 6.463620e+00 2.291506e+00
4010.9754 2.731941e+00 2.241821e+00
4012.6623 5.094762e+00 2.120521e+00
4014.3492 6.421619e-01 2.301913e+00
4016.0361 4.829960e+00 2.299691e+00
4017.7230 3.082429e+00 2.215863e+00
4019.4099 1.406123e+00 2.180447e+00
4021.0967 1.446244e+00 2.148991e+00
4022.7836 8.236920e+00 2.165712e+00
4024.4705 8.182807e+00 2.142781e+00
4026.1574 3.988164e+00 2.090031e+00
4027.8443 4.875801e+00 2.084849e+00
4029.5312 5.497759e+00 2.083496e+00
4031.2181 4.920788e+00 2.071067e+00
4032.9050 3.639553e+00 2.051006e+00
4034.5919 4.633980e+00 2.066633e+00
4036.2788 6.322965e+00 2.048961e+00
4037.9657 2.908629e+00 2.033953e+00
4039.6525 4.104346e+00 2.032801e+00
4041.3394 3.633601e+00 2.023882e+00
4043.0263 5.525785e+00 2.020666e+00
4044.7132 5.767878e+00 1.860707e+00
4046.4001 4.797736e+00 2.014762e+00
4048.0870 4.819613e+00 1.989955e+00
4049.7739 6.989503e+00 1.969512e+00
4051.4608 2.927256e+00 1.943257e+00
4053.1477 2.939640e+00 1.922477e+00
4054.8346 4.407082e+00 1.918156e+00
4056.5215 6.720894e+00 1.907754e+00
4058.2083 2.784696e+00 1.733031e+00
4059.8952 2.206753e+00 1.690448e+00
4061.5821 2.217585e+00 1.899004e+00
4063.2690 3.988498e+00 1.873778e+00
4064.9559 1.516796e+00 1.879572e+00
4066.6428 6.988071e+00 1.904818e+00
4068.3297 1.087936e+00 1.834779e+00
4070.0166 4.640177e+00 1.828803e+00
4071.7035 6.417493e+00 1.847100e+00
4073.3904 2.527601e+00 1.826539e+00
4075.0773 2.986162e+00 1.807141e+00
4076.7642 1.966181e+00 1.794456e+00
4078.4510 6.403393e+00 1.809133e+00
4080.1379 6.447236e+00 1.793979e+00
4081.8248 3.121320e+00 1.695486e+00
4083.5117 4.857120e+00 1.666696e+00
4085.1986 4.371579e+00 1.770815e+00
4086.8855 4.840715e+00 1.770049e+00
4088.5724 3.370316e+00 1.760763e+00
4090.2593 2.798746e+00 1.731329e+00
4091.9462 5.294018e+00 1.753859e+00
4093.6331 3.502473e+00 1.731623e+00
4095.3200 4.699769e+00 1.738636e+00
4097.0068 9.547488e-01 1.715764e+00
4098.6937 5.535349e+00 1.751373e+00
4100.3806 2.229778e+00 1.714594e+00
4102.0675 5.470891e+00 1.736196e+00
4103.7544 1.071476e+00 1.692810e+00
4105.4413 2.791829e+00 1.734548e+00
4107.1282 3.637051e+00 1.718085e+00
4108.8151 2.874955e+00 1.569934e+00
4110.5020 3.642251e+00 1.709869e+00
4112.1889 4.226297e+00 1.717437e+00
4113.8758 2.170807e+00 1.695986e+00
4115.5626 3.780113e+00 1.710670e+00
4117.2495 7.837249e+00 1.634950e+00
4118.9364 7.000564e+00 1.684801e+00
4120.6233 5.601196e+00 1.587914e+00
4122.3102 4.897639e+00 1.641567e+00
4123.9971 2.431080e+00 1.695737e+00
4125.6840 -1.757751e-01 1.660531e+00
4127.3709 7.374831e+00 1.704815e+00
4129.0578 5.729511e-01 1.654230e+00
4130.7447 1.929307e+00 1.657033e+00
4132.4316 2.780226e+00 1.656263e+00
4134.1185 3.559578e+00 1.658318e+00
4135.8053 2.790347e+00 1.648626e+00
4137.4922 2.914009e+00 1.633045e+00
4139.1791 3.803567e+00 1.626070e+00
4140.8660 5.383980e+00 1.638405e+00
4142.5529 2.800648e+00 1.605603e+00
4144.2398 4.477467e+00 1.609995e+00
4145.9267 3.856451e+00 1.590376e+00
4147.6136 2.402048e+00 1.567093e+00
4149.3005 4.353947e+00 1.583198e+00
4150.9874 4.707780e+00 1.580592e+00
4152.6743 3.422322e+00 1.575525e+00
4154.3611 3.715867e+00 1.562356e+00
4156.0480 2.776756e+00 1.558672e+00
4157.7349 4.709098e+00 1.577192e+00
4159.4218 3.558462e+00 1.478606e+00
4161.1087 2.944728e+00 1.369953e+00
4162.7956 4.667751e+00 1.854066e+00
4164.4825 7.330744e+00 1.886109e+00
4166.1694 2.761030e+00 1.833438e+00
4167.8563 4.132822e+00 1.832761e+00
4169.5432 3.101156e+00 1.821086e+00
4171.2301 5.195730e+00 1.598536e+00
4172.9169 3.622135e+00 1.529264e+00
4174.6038 6.067774e+00 1.526921e+00
4176.2907 5.253364e-01 1.490678e+00
4177.9776 5.109742e+00 1.508698e+00
4179.6645 4.321003e+00 1.496204e+00
4181.3514 3.425913e+00 1.478973e+00
4183.0383 3.675256e+00 1.368641e+00
4184.7252 3.022630e+00 1.469189e+00
4186.4121 5.529020e+00 1.482542e+00
4188.0990 2.646873e+00 1.453851e+00
4189.7859 5.010357e+00 1.463229e+00
4191.4727 3.012595e+00 1.451490e+00
4193.1596 2.102387e+00 1.445709e+00
4194.8465 4.063516e+00 1.436404e+00
4196.5334 3.638432e+00 1.439696e+00
4198.2203 5.510555e+00 1.440427e+00
4199.9072 1.488636e+00 1.408934e+00
4201.5941 3.300122e+00 1.372831e+00
4203.2810 6.726535e+00 1.315428e+00
4204.9679 3.706791e+00 1.403929e+00
4206.6548 3.920037e+00 1.410304e+00
4208.3417 5.593084e+00 1.415362e+00
4210.0286 4.112135e+00 1.396019e+00
4211.7154 3.644221e+00 1.381432e+00
4213.4023 2.928890e+00 1.380380e+00
4215.0892 3.263974e+00 1.273171e+00
4216.7761 3.251867e+00 1.347321e+00
4218.4630 2.537485e+00 1.347567e+00
4220.1499 1.260259e+00 1.342642e+00
4221.8368 2.828951e+00 1.336925e+00
4223.5237 1.771685e+00 1.330530e+00
4225.2106 6.388510e+00 1.350989e+00
4226.8975 1.748293e+00 1.312539e+00
4228.5844 1.669133e+00 1.301474e+00
4230.2712 3.138038e+00 1.318077e+00
4231.9581 2.876780e+00 1.312237e+00
4233.6450 3.047689e+00 1.319687e+00
4235.3319 4.590761e+00 1.331265e+00
4237.0188 4.571814e+00 1.322132e+00
4238.7057 4.347149e+00 1.328798e+00
4240.3926 2.937023e+00 1.299855e+00
4242.0795 3.694775e+00 1.312697e+00
4243.7664 3.967318e+00 1.319507e+00
4245.4533 3.368765e+00 1.230832e+00
4247.1402 3.522381e+00 1.266360e+00
4248.8270 4.705498e+00 1.341361e+00
4250.5139 3.978946e+00 1.339434e+00
4252.2008 2.188559e+00 1.373387e+00
4253.8877 1.694914e+00 1.439760e+00
4255.5746 2.733651e+00 1.443463e+00
4257.2615 1.961423e+00 1.413351e+00
4258.9484 3.198902e+00 1.440121e+00
4260.6353 3.949516e+00 1.411919e+00
4262.3222 4.466360e+00 1.397667e+00
4264.0091 4.672921e+00 1.394271e+00
4265.6960 5.168777e+00 1.394248e+00
4267.3829 2.400593e+00 1.361563e+00
4269.0697 5.255177e+00 1.375799e+00
4270.7566 3.240545e+00 1.343877e+00
4272.4435 3.898563e+00 1.316843e+00
4274.1304 2.278565e+00 1.242105e+00
4275.8173 4.070242e+00 1.334453e+00
4277.5042 3.837169e+00 1.316278e+00
4279.1911 1.579214e+00 1.297335e+00
4280.8780 2.701534e+00 1.299706e+00
4282.5649 2.845590e+00 1.295568e+00
4284.2518 2.573213e+00 1.279882e+00
4285.9387 3.522616e+00 1.302946e+00
4287.6255 3.083606e+00 1.267386e+00
4289.3124 3.623985e+00 1.249128e+00
4290.9993 1.696007e+00 1.192721e+00
4292.6862 3.271931e+00 1.286108e+00
4294.3731 3.696520e+00 1.288602e+00
4296.0600 3.873482e+00 1.297896e+00
4297.7469 4.026771e+00 1.301445e+00
4299.4338 3.711777e+00 1.326479e+00
4301.1207 1.675319e+00 1.290151e+00
4302.8076 5.191807e+00 1.285728e+00
4304.4945 1.601730e+00 1.255308e+00
4306.1813 4.669579e+00 1.277962e+00
4307.8682 2.733006e+00 1.262668e+00
4309.5551 3.158449e+00 1.275042e+00
4311.2420 1.293583e+00 1.255501e+00
4312.9289 2.918559e+00 1.269561e+00
4314.6158 3.656138e+00 1.292394e+00
4316.3027 2.906256e+00 1.282713e+00
4317.9896 1.852508e+00 1.271653e+00
4319.6765 4.244936e+00 1.279918e+00
4321.3634 1.592808e+00 1.268534e+00
4323.0503 3.769062e+00 1.274412e+00
4324.7372 4.659902e+00 1.276660e+00
4326.4240 2.270373e+00 1.259468e+00
4328.1109 2.112640e+00 1.273481e+00
4329.7978 4.385382e+00 1.282546e+00
4331.4847 4.581189e+00 1.285590e+00
4333.1716 8.569611e-01 1.250522e+00
4334.8585 3.543816e+00 1.273259e+00
4336.5454 4.243804e+00 1.104964e+00
4338.2323 4.474679e+00 1.238684e+00
4339.9192 4.429057e+00 1.273234e+00
4341.6061 3.481263e+00 1.268561e+00
4343.2930 2.533380e+00 1.255021e+00
