Host           band    mag     magerr   system      extinction      source      ref
ASAS-SN15ik       y     17.71  0.03  std no  PS1                               (4)      
ASAS-SN15ir       NUV   16.44  0.01  std no  GALEX                             (3) 
ASAS-SN15ir       g     14.53  0.01  std no  PS1                               (4) 
ASAS-SN15ir       r     14.12  0.01  std no  PS1                               (4) 
ASAS-SN15ir       i     13.97  0.01  std no  PS1                               (4) 
ASAS-SN15ir       z     13.73  0.01  std no  PS1                               (4) 
ASAS-SN15ir       y     13.62  0.02  std no  PS1                               (4) 
ASAS-SN15ir       J     12.82  0.07  std no  2MASS                             (5) 
ASAS-SN15ir       H     12.08  0.08  std no  2MASS                             (5) 
ASAS-SN15ir       Ks    11.75  0.11  std no  2MASS                             (5)
ASAS-SN15kz       NUV   16.43  0.02  std no  GALEX                             (3)
ASAS-SN15kz       g     15.49  0.04  std no  PS1                               (4)
ASAS-SN15kz       r     15.21  0.04  std no  PS1                               (4)
ASAS-SN15kz       i     15.12  0.04  std no  PS1                               (4)
ASAS-SN15kz       z     15.00  0.04  std no  PS1                               (4)
ASAS-SN15kz       y     15.20  0.17  std no  PS1                               (4)
ASAS-SN15kz       J     13.91  0.09  std no  2MASS                             (5)
ASAS-SN15kz       H     13.47  0.14  std no  2MASS                             (5)
ASAS-SN15kz       Ks    13.19  0.20  std no  2MASS                             (5)
ASAS-SN15lf       FUV   15.11  0.01  std no  GALEX                             (1)  
ASAS-SN15lf       NUV   14.71  0.01  std no  GALEX                             (1)  
ASAS-SN15lf       u     13.90  0.01  std no  PS1                               (1)  
ASAS-SN15lf       g     12.85  0.01  std no  PS1                               (1)  
ASAS-SN15lf       r     12.38  0.01  std no  PS1                               (1)  
ASAS-SN15lf       i     12.13  0.01  std no  PS1                               (1)  
ASAS-SN15lf       z     11.97  0.01  std no  PS1                               (1)  
ASAS-SN15lf       J     10.92  0.02  std no  2MASS                             (2) 
ASAS-SN15lf       H     10.27  0.03  std no  2MASS                             (2) 
ASAS-SN15lf       Ks    10.01  0.03  std no  2MASS                             (2) 
ASAS-SN15ln       FUV   17.76  0.12  std no  GALEX                             (1)  
ASAS-SN15ln       NUV   17.06  0.03  std no  GALEX                             (1)  
ASAS-SN15ln       u     16.66  0.07  std no  SDSS                              (1)  
ASAS-SN15ln       g     15.56  0.01  std no  SDSS                              (1)  
ASAS-SN15ln       r     15.11  0.01  std no  SDSS                              (1)  
ASAS-SN15ln       i     14.83  0.01  std no  SDSS                              (1)  
ASAS-SN15ln       z     14.62  0.08  std no  SDSS                              (1)  
ASAS-SN15ln       J     13.87  0.07  std no  2MASS                             (2) 
ASAS-SN15ln       H     13.49  0.08  std no  2MASS                             (2) 
ASAS-SN15ln       Ks    12.94  0.03  std no  2MASS                             (2)  
ASAS-SN15mj       FUV   18.04  0.18  std no  GALEX                             (1)  
ASAS-SN15mj       NUV   17.82  0.03  std no  GALEX                             (1)  
ASAS-SN15mj       u     17.18  0.11  std no  SDSS                              (1)  
ASAS-SN15mj       g     16.26  0.01  std no  SDSS                              (1)  
ASAS-SN15mj       r     15.91  0.01  std no  SDSS                              (1)  
ASAS-SN15mj       i     15.67  0.02  std no  SDSS                              (1)  
ASAS-SN15mj       z     15.62  0.02  std no  SDSS                              (1)  
ASAS-SN15mj       J     14.71  0.09  std no  2MASS                             (2) 
ASAS-SN15mj       H     14.05  0.12  std no  2MASS                             (2) 
ASAS-SN15mj       Ks    13.57  0.13  std no  2MASS                             (2) 
ASAS-SN15mm       u     17.50  0.06  std no  SDSS                              (1)  
ASAS-SN15mm       g     16.26  0.01  std no  SDSS                              (1)  
ASAS-SN15mm       r     15.77  0.01  std no  SDSS                              (1)  
ASAS-SN15mm       i     15.42  0.01  std no  SDSS                              (1)  
ASAS-SN15mm       z     15.32  0.06  std no  SDSS                              (1)  
ASAS-SN15mm       J     14.05  0.09  std no  2MASS                             (2) 
ASAS-SN15mm       H     13.89  0.12  std no  2MASS                             (2) 
ASAS-SN15mm       Ks    13.32  0.13  std no  2MASS                             (2)
ASAS-SN15no       NUV   20.06  0.12  std no  GALEX                             (3)
ASAS-SN15no       u     19.59  0.20  std no  SDSS                              (6) 
ASAS-SN15no       g     18.65  0.01  std no  PS1                               (4)
ASAS-SN15no       r     18.30  0.03  std no  PS1                               (4)
